status,suite,datacenter,cron,name,host,desk
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""40"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""16""}}",treasuries_02,ch6psltr070.concord.global,treasuries
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""06""}}",equities_06,ch6psltr076.concord.global,equities
up,helen,chicago_7,No cron,1,ch7pswtr129.concord.global,crude
down,linux_script,chicago_7,No cron,5,e7ch7ftp02.concord.global,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_12,ch6psltr061.concord.global,bgls
up,order-router,chicago_7,No cron,6,e7ch7066,nat-gas
up,hydra,new_york_4,No cron,1,e7ny4023,equities
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_lime_01,ch0pslss010.concord.global,ssvcs
down,downloader,tokyo_2,No cron,1,tk2pswtr012.concord.global,house
up,feeder,chicago_7,No cron,2,e7ch7097,house
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_xtkt_01,ch0pslss010.concord.global,ssvcs
up,feeder,chicago_7,No cron,4,ch7pswss137,house
down,linux_script,chicago_7,"{""oc_abn_fix_logs"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""19""}}",38,e7ch7ftp02.concord.global,house
up,order-router,chicago_7,No cron,10,e7ch7066,nat-gas
down,sapphire,new_york_1,Cron disabled,equities_19,ny1psltr011.concord.global,equities
down,tsdb,chicago_7,No cron,13,tsb.concord.global,house
up,feeder,new_york_4,No cron,1,ny4pswtr039.concord.global,equities
up,oc-console-broker,chicago_7,"{""stop_mon_fri"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_mon_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0-4"", ""hour"": ""17""}}",crude_01,ch7psltr141.concord.global,crude
down,qa-prod-tracker,chicago_7,"{""start"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""09""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""06""}}",api,ch7pslwb056.concord.global,house
up,natasha,new_york_4,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""stop_wd"": {""daymonth"": ""*"", ""minute"": ""16"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",1,e7ny4016.concord.global,equities
down,downloader,chicago_7,Cron disabled,glbx_01,ch7pslss132.concord.global,No desk
